Año,Distrito,Tipo,Frecuencia
2020,Centro,Económica/Patrimonial,664
2020,Centro,Física,6861
2020,Centro,Otros,0
2020,Centro,Psicológica,13203
2020,Centro,Sexual,337
2020,Centro,Simbólica,3578
2020,Norte-Orán,Económica/Patrimonial,98
2020,Norte-Orán,Física,974
2020,Norte-Orán,Otros,0
2020,Norte-Orán,Psicológica,1723
2020,Norte-Orán,Sexual,132
2020,Norte-Orán,Simbólica,33
2020,Norte-Tartagal,Económica/Patrimonial,46
2020,Norte-Tartagal,Física,1248
2020,Norte-Tartagal,Otros,3
2020,Norte-Tartagal,Psicológica,2970
2020,Norte-Tartagal,Sexual,50
2020,Norte-Tartagal,Simbólica,11
2020,Sur-Metán,Económica/Patrimonial,68
2020,Sur-Metán,Física,652
2020,Sur-Metán,Otros,0
2020,Sur-Metán,Psicológica,1339
2020,Sur-Metán,Sexual,70
2020,Sur-Metán,Simbólica,17
2021,Centro,Económica/Patrimonial,674
2021,Centro,Física,7023
2021,Centro,Otros,0
2021,Centro,Psicológica,16361
2021,Centro,Sexual,507
2021,Centro,Simbólica,3041
2021,Norte-Orán,Económica/Patrimonial,110
2021,Norte-Orán,Física,1290
2021,Norte-Orán,Otros,0
2021,Norte-Orán,Psicológica,2178
2021,Norte-Orán,Sexual,182
2021,Norte-Orán,Simbólica,7
2021,Norte-Tartagal,Económica/Patrimonial,56
2021,Norte-Tartagal,Física,1272
2021,Norte-Tartagal,Otros,0
2021,Norte-Tartagal,Psicológica,3579
2021,Norte-Tartagal,Sexual,96
2021,Norte-Tartagal,Simbólica,10
2021,Sur-Anta,Económica/Patrimonial,8
2021,Sur-Anta,Física,84
2021,Sur-Anta,Otros,0
2021,Sur-Anta,Psicológica,200
2021,Sur-Anta,Sexual,6
2021,Sur-Anta,Simbólica,0
2021,Sur-Metán,Económica/Patrimonial,101
2021,Sur-Metán,Física,613
2021,Sur-Metán,Otros,0
2021,Sur-Metán,Psicológica,1609
2021,Sur-Metán,Sexual,79
2021,Sur-Metán,Simbólica,29
2022,Centro,Económica/Patrimonial,1154
2022,Centro,Física,6131
2022,Centro,Otros,0
2022,Centro,Psicológica,14316
2022,Centro,Sexual,385
2022,Centro,Simbólica,1278
2022,Norte-Orán,Económica/Patrimonial,107
2022,Norte-Orán,Física,1594
2022,Norte-Orán,Otros,5
2022,Norte-Orán,Psicológica,2740
2022,Norte-Orán,Sexual,208
2022,Norte-Orán,Simbólica,29
2022,Norte-Tartagal,Económica/Patrimonial,43
2022,Norte-Tartagal,Física,1353
2022,Norte-Tartagal,Otros,0
2022,Norte-Tartagal,Psicológica,3733
2022,Norte-Tartagal,Sexual,126
2022,Norte-Tartagal,Simbólica,18
2022,Sur-Anta,Económica/Patrimonial,5
2022,Sur-Anta,Física,341
2022,Sur-Anta,Otros,0
2022,Sur-Anta,Psicológica,621
2022,Sur-Anta,Sexual,26
2022,Sur-Anta,Simbólica,5
2022,Sur-Metán,Económica/Patrimonial,96
2022,Sur-Metán,Física,666
2022,Sur-Metán,Otros,0
2022,Sur-Metán,Psicológica,1600
2022,Sur-Metán,Sexual,70
2022,Sur-Metán,Simbólica,67
2023,Centro,Económica/Patrimonial,1372
2023,Centro,Física,6911
2023,Centro,Psicológica,15757
2023,Centro,Sexual,497
2023,Centro,Simbólica,1737
2023,Norte-Orán,Económica/Patrimonial,52
2023,Norte-Orán,Física,1576
2023,Norte-Orán,Psicológica,2702
2023,Norte-Orán,Sexual,165
2023,Norte-Orán,Simbólica,4
2023,Sur-Anta,Económica/Patrimonial,2
2023,Sur-Anta,Física,372
2023,Sur-Anta,Psicológica,643
2023,Sur-Anta,Sexual,10
2023,Sur-Anta,Simbólica,0
2023,Sur-Metán,Económica/Patrimonial,83
2023,Sur-Metán,Física,670
2023,Sur-Metán,Psicológica,1643
2023,Sur-Metán,Sexual,49
2023,Sur-Metán,Simbólica,84
2023,Norte-Tartagal,Económica/Patrimonial,41
2023,Norte-Tartagal,Física,1344
2023,Norte-Tartagal,Psicológica,3448
2023,Norte-Tartagal,Sexual,142
2023,Norte-Tartagal,Simbólica,15
2024,Sur-Anta,Económica/Patrimonial,56
2024,Sur-Anta,Física,218
2024,Sur-Anta,Psicológica,378
2024,Sur-Anta,Sexual,8
2024,Sur-Anta,Simbólica,0
2024,Centro,Económica/Patrimonial,546
2024,Centro,Física,3302
2024,Centro,Psicológica,7724
2024,Centro,Sexual,222
2024,Centro,Simbólica,1159
2024,Sur-Metán,Económica/Patrimonial,77
2024,Sur-Metán,Física,290
2024,Sur-Metán,Psicológica,815
2024,Sur-Metán,Sexual,25
2024,Sur-Metán,Simbólica,52
2024,Norte-Orán,Económica/Patrimonial,0
2024,Norte-Orán,Física,663
2024,Norte-Orán,Psicológica,1310
2024,Norte-Orán,Sexual,64
2024,Norte-Orán,Simbólica,0
2024,Norte-Tartagal,Económica/Patrimonial,26
2024,Norte-Tartagal,Física,727
2024,Norte-Tartagal,Psicológica,1678
2024,Norte-Tartagal,Sexual,87
2024,Norte-Tartagal,Simbólica,2
