Año,Distrito,Género,Rango_etario,Frecuencia,Ord_rango_etario
2020,Centro,Mujeres,0-17 años,79,1
2020,Sur-Metán,Mujeres,0-17 años,21,1
2020,Norte-Orán,Mujeres,0-17 años,17,1
2020,Norte-Tartagal,Mujeres,0-17 años,21,1
2020,Centro,Mujeres,18-21 años,469,2
2020,Sur-Metán,Mujeres,18-21 años,32,2
2020,Norte-Orán,Mujeres,18-21 años,61,2
2020,Norte-Tartagal,Mujeres,18-21 años,68,2
2020,Centro,Mujeres,22-29 años,1311,3
2020,Sur-Metán,Mujeres,22-29 años,108,3
2020,Norte-Orán,Mujeres,22-29 años,146,3
2020,Norte-Tartagal,Mujeres,22-29 años,169,3
2020,Centro,Mujeres,30-39 años,1340,4
2020,Sur-Metán,Mujeres,30-39 años,89,4
2020,Norte-Orán,Mujeres,30-39 años,108,4
2020,Norte-Tartagal,Mujeres,30-39 años,181,4
2020,Centro,Mujeres,40-49 años,767,5
2020,Sur-Metán,Mujeres,40-49 años,49,5
2020,Norte-Orán,Mujeres,40-49 años,61,5
2020,Norte-Tartagal,Mujeres,40-49 años,74,5
2020,Centro,Mujeres,50-59 años,233,6
2020,Sur-Metán,Mujeres,50-59 años,24,6
2020,Norte-Orán,Mujeres,50-59 años,28,6
2020,Norte-Tartagal,Mujeres,50-59 años,17,6
2020,Centro,Mujeres,60-74 años,147,7
2020,Sur-Metán,Mujeres,60-74 años,8,7
2020,Norte-Orán,Mujeres,60-74 años,15,7
2020,Norte-Tartagal,Mujeres,60-74 años,17,7
2020,Centro,Mujeres,Más de 74 años,59,8
2020,Sur-Metán,Mujeres,Más de 74 años,2,8
2020,Norte-Orán,Mujeres,Más de 74 años,1,8
2020,Norte-Tartagal,Mujeres,Más de 74 años,1,8
2020,Centro,Varones,0-17 años,121,1
2020,Sur-Metán,Varones,0-17 años,31,1
2020,Norte-Orán,Varones,0-17 años,30,1
2020,Norte-Tartagal,Varones,0-17 años,39,1
2020,Centro,Varones,18-21 años,968,2
2020,Sur-Metán,Varones,18-21 años,95,2
2020,Norte-Orán,Varones,18-21 años,140,2
2020,Norte-Tartagal,Varones,18-21 años,182,2
2020,Centro,Varones,22-29 años,2836,3
2020,Sur-Metán,Varones,22-29 años,219,3
2020,Norte-Orán,Varones,22-29 años,405,3
2020,Norte-Tartagal,Varones,22-29 años,446,3
2020,Centro,Varones,30-39 años,3095,4
2020,Sur-Metán,Varones,30-39 años,251,4
2020,Norte-Orán,Varones,30-39 años,395,4
2020,Norte-Tartagal,Varones,30-39 años,490,4
2020,Centro,Varones,40-49 años,1732,5
2020,Sur-Metán,Varones,40-49 años,146,5
2020,Norte-Orán,Varones,40-49 años,222,5
2020,Norte-Tartagal,Varones,40-49 años,274,5
2020,Centro,Varones,50-59 años,774,6
2020,Sur-Metán,Varones,50-59 años,78,6
2020,Norte-Orán,Varones,50-59 años,96,6
2020,Norte-Tartagal,Varones,50-59 años,106,6
2020,Centro,Varones,60-74 años,416,7
2020,Sur-Metán,Varones,60-74 años,43,7
2020,Norte-Orán,Varones,60-74 años,40,7
2020,Norte-Tartagal,Varones,60-74 años,41,7
2020,Centro,Varones,Más de 74 años,121,8
2020,Sur-Metán,Varones,Más de 74 años,7,8
2020,Norte-Orán,Varones,Más de 74 años,5,8
2020,Norte-Tartagal,Varones,Más de 74 años,2,8
2021,Sur-Anta,Mujeres,0-17 años,0,1
2021,Centro,Mujeres,0-17 años,84,1
2021,Sur-Metán,Mujeres,0-17 años,17,1
2021,Norte-Orán,Mujeres,0-17 años,20,1
2021,Norte-Tartagal,Mujeres,0-17 años,16,1
2021,Sur-Anta,Mujeres,18-21 años,7,2
